MODULE_MOD,DEV_ID,MODULE_SERIAL_NO
J3300-NM-M,Abu_10.10.0.1,fGHeGhWnnmeJLR
T6300-NM-S,Abu_10.10.0.2,ogkQ8P7mA63z5x
Q9300-NM-J,Acc_10.10.0.3,XZLE8JnnH4yQYo
F8300-NM-J,Adi_10.10.0.4,G9XLXDPdPc2Qam
S5300-NM-Y,Al _10.10.0.5,zyvPZ6g8JpZGjW
N3300-NM-D,Amm_10.10.0.6,iPNiSCtwbfuomp
H9300-NM-W,Áms_10.10.0.7,sLekuivuaEUmh9
G7300-NM-M,And_10.10.0.8,PmbfugZW5UvpWV
M5300-NM-B,Est_10.10.0.9,YhnM3N3sX5ZB6s
Q3300-NM-C,Ant_10.10.0.10,SKdaDqKjotBKUL
K9300-NM-N,Api_10.10.0.11,FBx4aPUSaERMQe
F2300-NM-H,Arg_10.10.0.12,72Jxk7DzZ8xwPv
X6300-NM-Y,Asj_10.10.0.13,VZskS4RVGznj9Q
K8300-NM-F,Asm_10.10.0.14,GEXVdpTLGvhZfL
Z3300-NM-U,Asu_10.10.0.15,evCZ3HLKGVKC97
Q3300-NM-V,Ate_10.10.0.16,4TaDZiu42u8LeA
F9300-NM-H,Bag_10.10.0.17,RRRNUjVfFcRC9K
G8300-NM-A,Bak_10.10.0.18,Tkk6FLYy2TaR4v
N6300-NM-A,Bam_10.10.0.19,9GhabJJWPbhE7b
G7300-NM-Q,Ban_10.10.0.20,aoJJ6L4qqDEXsD
J3300-NM-M,Ban_10.10.0.21,4FQDQURFfRktgu
T6300-NM-S,Ban_10.10.0.22,mkWvyGzUHvywEq
Q9300-NM-J,Ban_10.10.0.23,fsg8ercKh9HJfd
F8300-NM-J,Bas_10.10.0.24,tVq5sxAUZr8tcW
S5300-NM-Y,Bei_10.10.0.25,Y7vyQ9PFShHENM
N3300-NM-D,Bel_10.10.0.26,kcxCwkiVjC78JK
H9300-NM-W,Bel_10.10.0.27,iT2b8HfMkrQm3M
G7300-NM-M,Ber_10.10.0.28,uWKoo5uVHpxmMG
M5300-NM-B,Ber_10.10.0.29,TrPg8w2GFTkr3h
